dataset,model,C,alpha,seed,order,regime,zero_shot,local_only,held_out,in_sample,parse_fb,file
agnews,llama3,10,0.5,42,original,canonical_full,0.767,0.694,0.73,0.77,0.0022,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C10_seed42_order-original.json
agnews,llama3,3,0.5,13,label_alternating,canonical_full,0.767,0.738,0.746,0.78,0.0019,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-label_alternating.json
agnews,llama3,3,0.5,3,label_alternating,canonical_full,0.767,0.736,0.745,0.77,0.002,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-label_alternating.json
agnews,llama3,3,0.5,42,label_alternating,canonical_full,0.767,0.733,0.741,0.77,0.0022,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-label_alternating.json
agnews,llama3,3,0.5,7,label_alternating,canonical_full,0.767,0.726,0.744,0.77,0.0017,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-label_alternating.json
agnews,llama3,3,0.5,99,label_alternating,canonical_full,0.767,0.724,0.738,0.75,0.0022,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-label_alternating.json
agnews,llama3,3,0.5,13,label_grouped,canonical_full,0.767,0.74,0.749,0.76,0.0015,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-label_grouped.json
agnews,llama3,3,0.5,3,label_grouped,canonical_full,0.767,0.734,0.75,0.77,0.0021,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-label_grouped.json
agnews,llama3,3,0.5,42,label_grouped,canonical_full,0.767,0.735,0.749,0.77,0.0025,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-label_grouped.json
agnews,llama3,3,0.5,7,label_grouped,canonical_full,0.767,0.729,0.748,0.77,0.0018,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-label_grouped.json
agnews,llama3,3,0.5,99,label_grouped,canonical_full,0.767,0.729,0.748,0.74,0.0023,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-label_grouped.json
agnews,llama3,3,0.5,13,original,canonical_full,0.767,0.726,0.744,0.76,0.003,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-original.json
agnews,llama3,3,0.5,3,original,canonical_full,0.767,0.727,0.737,0.77,0.0027,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-original.json
agnews,llama3,3,0.5,42,original,canonical_full,0.767,0.746,0.742,0.75,0.002,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_seed42_order-original.json
agnews,llama3,3,0.5,42,original,canonical_full,0.767,0.738,0.736,0.77,0.0031,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-original.json
agnews,llama3,3,0.5,7,original,canonical_full,0.767,0.728,0.742,0.78,0.002,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-original.json
agnews,llama3,3,0.5,99,original,canonical_full,0.767,0.722,0.741,0.75,0.003,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-original.json
agnews,llama3,3,0.5,13,random_shuffle,canonical_full,0.767,0.732,0.738,0.77,0.0022,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-random_shuffle.json
agnews,llama3,3,0.5,3,random_shuffle,canonical_full,0.767,0.732,0.745,0.77,0.0028,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-random_shuffle.json
agnews,llama3,3,0.5,42,random_shuffle,canonical_full,0.767,0.737,0.738,0.76,0.0033,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-random_shuffle.json
agnews,llama3,3,0.5,7,random_shuffle,canonical_full,0.767,0.725,0.738,0.78,0.002,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-random_shuffle.json
